downloadcount	movie
96	[美国][2018][暴力行为/暴力行动][Acts.of.Violence.2018.720p.BluRay.x264-WiKi][动作][Blu-Ray][720P][附件中英字幕]
	
213	[大陆][2017][二代妖精之今生有幸][Hanson.And.The.Beast.2018.WEB-DL.1080p.H264.AAC-MTTV][冯绍峰/刘亦菲/李光洁/郭京飞 ][剧情/喜剧/爱情/奇幻][WEB-DL][1080P][自带中文字幕]
	
155	[大陆][2017][破·局][Peace.Breaker.2017.720p.BluRay.x264-WiKi][犯罪][Blu-Ray][720P][无需字幕]
	
256	[大陆][2018][南极之恋][Till.The.End.Of.The.World.2018.R6.WEB-DL.2160P.H264.AAC][赵又廷/杨子姗][爱情/冒险][WEB-DL][4K][无需字幕]
	
361	[大陆][2018][英雄本色2018][A.Better.Tomorrow.2018.2018.1080p.WEB-DL.X264.AAC-BTBT4K][王凯/马天宇/王大陆/余皑磊/林雪 ][剧情/动作][WEB-DL][1080P][自带中文字幕]
	
48	[美国][2017][灾难艺术家/大灾难家(台)/荷里活烂片王(港) ][The.Disaster.Artist.2017.720p.BluRay.x264-WiKi][剧情/喜剧/传记][Blu-Ray][720P][自带中文字幕]
	
27	[美国][2017][小城犯罪/小城犯罪/小城罪案故事][Small.Town.Crime.2017.720p.BluRay.x264-WiKi][惊悚][Blu-Ray][720P][暂无字幕]
	
279	[大陆][2018][迷巢][Guardians.of.the.Tomb.2018.WEB-DL.4K.H264.AAC-TJUPT][李冰冰/凯南·鲁兹/吴尊/凯尔希·格兰莫][冒险][WEB-DL][4K][无需字幕]
	
89	[韩国][2017][与神同行][Along.With.the.Gods.The.Two.Worlds.2017.1080p.FHDRip.H264.AAC-NonDRM][剧情/奇幻][1080P][附件中文字幕]
	
26	[美国][2017][灾难艺术家][The.Disaster.Artist.2017.720p.BluRay.AC3.x264.D-Z0N3][剧情/喜剧/传记][Blu-Ray][720P][附件中英字幕]
	
113	[美国][2017][马戏之王][The.Greatest.Showman.2017.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG][剧情/传记/舞蹈][WEB-DL][1080P][附件中英字幕]
	
134	[日本][2017][第三度嫌疑人][The.Third.Murder.2017.720p.BluRay.x264.DTS-WiKi][剧情/纪录/悬疑][Blu-Ray][720P][自带中文字幕]
	
31	[法国][2017][达琳达/绝代天后黛莉达(台)][Dalida.2017.720p.BluRay.x264-WiKi][音乐/传记][Blu-Ray][720P][自带中文字幕]
	
116	[美国][2018][暴力行为][Acts.of.Violence.2018.BluRay.iPad.1080p.AAC.x264-HDHPad][动作][Blu-Ray][1080P][附件中英字幕]
	
94	[大陆][2017][逆时营救][Reset.2017.BluRay.720p.x264.AC3-CMCT][动作/科幻][Blu-Ray][720P][自带中文字幕]
	
61	[法国][1999][第九道门/魔鬼手记/鬼上门][The.Ninth.Gate.1999.BluRay.720p.x264.AC3-CMCT][剧情/恐怖/惊悚/奇幻/悬疑][Blu-Ray][720P][自带中文字幕]
	
60	[韩国][2016][你会在那里吗？/你还会在吗？(港)/你会在那儿吗？/你会在吗？][Will.You.Be.There.2016.720p.BluRay.x264-WiKi][剧情/爱情/奇幻][Blu-Ray][720P][自带中文字幕]
	
193	[英国][2017][帕丁顿熊2/柏灵顿2(港)/柏灵顿熊熊出任务(台)][Paddington.2.2017.720p.BluRay.x264-WiKi][喜剧/家庭][Blu-Ray][720P][自带中文字幕]
	
89	[2011][突袭/全面突袭(台)/突击死亡塔(港)/突袭:救赎][Serbuan.maut.2011.720p.BluRay.DTS.x264-TayTO][动作/惊悚/犯罪][Blu-Ray][720P][附件中文字幕]
	
27	[韩国][2016][容顺/Yongsoon/龙顺][Yongsoon.2016.720p.BluRay.x264-WiKi][剧情][Blu-Ray][720P][暂无字幕]
	
184	[美国][2017][缩小人生/缩身/缩水人间(港)][Downsizing.2017.720p.BluRay.x264-WiKi][马特·达蒙][剧情/喜剧/科幻][Blu-Ray][720P][暂无字幕]
	
53	[法国][2017][请以你的名字呼唤我/以你的名字呼唤我(港/台)/以你的名义呼唤我/唤吾汝名][Call.Me.by.Your.Name.2017.720p.BluRay.x264-WiKi][剧情/爱情][Blu-Ray][720P][暂无字幕]
	
21	[美国][2009][守望者/守护者/保卫奇侠][ Watchmen.2009.Director's.Cut.1080p.BluRay.x264-WiKi][剧情/动作/惊悚/科幻][Blu-Ray][1080P][自带中文字幕]
	
567	[印度][2015][小萝莉的猴神大叔][Bajrangi Bhaijaan 2015 BluRay 720P AC3 ShinY.mkv][剧情/喜剧/动作/爱情][Blu-Ray][720P][自带中英字幕]
	
8	[美国][2009][守望者][Watchmen.2009.The.Ultimate.Cut.2160p.BluRay.HEVC.TrueHD.5.1-TERMiNAL][动作/科幻/悬疑][Blu-Ray][4K][自带英文字幕]
	
497	[大陆][2018][西游记女儿国][The.Monkey.King.3.Kingdom.of.Women.2018.WEB-DL.4K.H264.AAC-TJUPT][喜剧/爱情/奇幻][WEB-DL][4K][自带中英字幕]
	
563	[大陆][2018][西游记女儿国][ The.Monkey.King.3.Kingdom.of.Women.2017.WEB-DL.1080p.H264.AAC-Prestige][喜剧/爱情/奇幻][WEB-DL][1080P][无需字幕]
	
241	[大陆][2011][Hello！树先生][Hello.Mr.Tree.2011.WEB-DL.1080p.H264.AAC-npuer][剧情/喜剧][WEB-DL][1080P][无需字幕]
	
204	[美国][2017][水形物语/忘形水(港)/水底情深(台)][The.Shape.of.Water.2017.BluRay.1080p.x264.DTS-CMCT][剧情/奇幻/冒险][Blu-Ray][1080P][自带中英字幕]
	
99	[英国][2017][帕丁顿熊2/柏灵顿2(港)/柏灵顿熊熊出任务(台)][Paddington.2.2017.720p.BluRay.DD-EX.x264-decibeL][喜剧/家庭/动画][Blu-Ray][720P][附件中文字幕]
	
655	[美国][2017][雷神3:诸神黄昏/雷神索尔3:诸神黄昏(台)/雷神奇侠3:诸神黄昏(港)/雷神3:诸神的黄昏][Thor.Ragnarok.IMAX.2017.BluRay.720p.x264.AC3-CMCT][动作/奇幻/冒险][Blu-Ray][720P][自带中英字幕]
	
379	[美国][2017][正义联盟][Justice.League.2017.720p.BluRay.x264-WiKi][动作/科幻/奇幻/冒险][Blu-Ray][720P][自带中英字幕]
	
131	[英国][2017][至爱梵高·星空之谜/至爱梵高][Loving.Vincent.2017.BluRay.720p.x264.AC3-CMCT][剧情/动画/传记][Blu-Ray][720P][自带中英字幕]
	
239	[韩国][2017][杀人优越权/朝鲜来的贵宾][V.I.P.2017.BluRay.720p.x264.AC3-CMCT][动作/犯罪][Blu-Ray][720P][自带中文字幕]
	
